"activity" "subject" "MeanReading"
"WALKING_DOWNSTAIRS" 4 -0.191031669992057
"WALKING_DOWNSTAIRS" 5 -0.160155959572147
"WALKING_DOWNSTAIRS" 6 -0.157498397175392
"WALKING_DOWNSTAIRS" 7 -0.209094948329968
"WALKING_DOWNSTAIRS" 8 -0.156720696253652
"WALKING_DOWNSTAIRS" 9 -0.172859175956081
"WALKING_DOWNSTAIRS" 10 -0.138863112554429
"WALKING_DOWNSTAIRS" 11 -0.169693962750543
"WALKING_DOWNSTAIRS" 12 -0.211805115206813
"WALKING_DOWNSTAIRS" 13 -0.211474929586776
"WALKING_DOWNSTAIRS" 14 -0.154774751270851
"WALKING_DOWNSTAIRS" 15 -0.151279765001401
"WALKING_DOWNSTAIRS" 16 -0.176534596215729
"WALKING_DOWNSTAIRS" 17 -0.202131668272615
"WALKING_DOWNSTAIRS" 18 -0.250906621332102
"WALKING_DOWNSTAIRS" 19 -0.099596101737047
"WALKING_DOWNSTAIRS" 20 -0.157667572542091
"WALKING_DOWNSTAIRS" 21 -0.168569823483842
"WALKING_DOWNSTAIRS" 22 -0.142629835332315
"WALKING_DOWNSTAIRS" 23 -0.166706525910077
"WALKING_DOWNSTAIRS" 24 -0.224649051857628
"WALKING_DOWNSTAIRS" 25 -0.218322988774961
"WALKING_DOWNSTAIRS" 26 -0.16116879341343
"WALKING_DOWNSTAIRS" 27 -0.196479147470497
"WALKING_DOWNSTAIRS" 28 -0.194759571707026
"WALKING_DOWNSTAIRS" 29 -0.169941535747008
"WALKING_DOWNSTAIRS" 30 -0.199997565910897
"WALKING_UPSTAIRS" 1 -0.21781118761026
"WALKING_UPSTAIRS" 2 -0.217465871757323
"WALKING_UPSTAIRS" 3 -0.238500331445699
"WALKING_UPSTAIRS" 4 -0.215322309243576
"WALKING_UPSTAIRS" 5 -0.197079406349185
"WALKING_UPSTAIRS" 6 -0.208302085156277
"WALKING_UPSTAIRS" 7 -0.24517035388385
"WALKING_UPSTAIRS" 8 -0.170494200339128
"WALKING_UPSTAIRS" 9 -0.229253604265529
"WALKING_UPSTAIRS" 10 -0.168118309365952
"WALKING_UPSTAIRS" 11 -0.196025316012935
"WALKING_UPSTAIRS" 12 -0.243660840616304
"WALKING_UPSTAIRS" 13 -0.214778605089568
"WALKING_UPSTAIRS" 14 -0.179484142033583
"WALKING_UPSTAIRS" 15 -0.189256041284369
"WALKING_UPSTAIRS" 16 -0.229255776859228
"WALKING_UPSTAIRS" 17 -0.218065084063591
"WALKING_UPSTAIRS" 18 -0.245562767367021
"WALKING_UPSTAIRS" 19 -0.201311862324856
"WALKING_UPSTAIRS" 20 -0.197906407019324
"WALKING_UPSTAIRS" 21 -0.227019895316947
"WALKING_UPSTAIRS" 22 -0.160143131076651
"WALKING_UPSTAIRS" 23 -0.200291429169575
"WALKING_UPSTAIRS" 24 -0.249650497073061
"WALKING_UPSTAIRS" 25 -0.235857541013508
"WALKING_UPSTAIRS" 26 -0.229523453476801
"WALKING_UPSTAIRS" 27 -0.236081856919949
"WALKING_UPSTAIRS" 28 -0.249027576034753
"WALKING_UPSTAIRS" 29 -0.172021543710999
"WALKING_UPSTAIRS" 30 -0.220075986546844
